Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1,,1,,2836,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,512,Oman,OMN,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,232,,232,,1738,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,181405,,181405,,247338,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,10308,,10308,,11694,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,554,New Zealand,NZL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1026,,1026,,4372,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,566,Nigeria,NGA,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,429,,429,,16126,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,579,Norway,NOR,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1249,,1249,,20744,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,586,Pakistan,PAK,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,3250,,3250,,7322,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,4554640,,4554640,,1426428,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1109,,1109,,1743,,,0
