Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
685,10,9,0,0,Jaws 2 (Universal),16-Jun-78,"$81,766,987 ",1978
686,26,4,3,1,Heaven Can Wait (1978) (Paramount),28-Jun-78,"$81,640,699 ",1978
687,106,41,19,15,Eight Below (Disney),17-Feb-06,"$81,612,111 ",2006
688,34,4,3,1,M.A.S.H. (Fox),25-Jan-70,"$81,600,139 ",1970
689,155,25,30,4,Unstoppable (2010) (Fox),12-Nov-10,"$81,562,942 ",2010
690,39,34,10,11,Payback (1999) (Paramount),05-Feb-99,"$81,526,779 ",1999
691,105,22,25,7,The Talented Mr. Ripley (Paramount),25-Dec-99,"$81,298,221 ",1999
692,176,16,39,1,School of Rock (Paramount),03-Oct-03,"$81,261,961 ",2003
693,7,9,0,0,Police Academy (Warner Bros.),23-Mar-84,"$81,198,403 ",1984
694,19,61,4,15,Snow Dogs (Disney),18-Jan-02,"$81,172,036 ",2002
695,58,106,8,24,21 (Sony / Columbia),28-Mar-08,"$81,159,618 ",2008
696,37,6,11,2,While You Were Sleeping (Disney),21-Apr-95,"$81,080,198 ",1995
697,9,34,1,12,Congo (Paramount),09-Jun-95,"$81,022,888 ",1995
698,80,74,18,20,The Notebook (New Line),25-Jun-04,"$81,001,326 ",2004
699,56,19,12,6,Jimmy Neutron: Boy Genius (Paramount),21-Dec-01,"$80,936,187 ",2001
700,85,3,13,3,Alien (Fox),25-May-79,"$80,931,087 ",1979
701,4,17,0,2,Another 48 HRS. (Paramount),08-Jun-90,"$80,818,539 ",1990
702,38,3,6,1,Moonstruck (MGM),16-Dec-87,"$80,640,773 ",1987
703,71,122,14,23,Eat Pray Love (Sony / Columbia),13-Aug-10,"$80,574,010 ",2010
704,55,98,6,28,The Texas Chainsaw Massacre (2003) (New Line),17-Oct-03,"$80,571,616 ",2003
705,17,106,4,22,Zookeeper (Sony / Columbia),08-Jul-11,"$80,360,866 ",2011
706,30,111,1,24,Alien Vs. Predator (Fox),13-Aug-04,"$80,282,078 ",2004
707,36,95,9,24,What Happens in Vegas (Fox),09-May-08,"$80,277,334 ",2008
708,22,143,8,30,The Dukes of Hazzard (Warner Bros.),05-Aug-05,"$80,270,239 ",2005
709,40,20,8,4,The Wedding Singer (New Line),13-Feb-98,"$80,245,004 ",1998
710,23,62,1,17,Saw III (Lionsgate),27-Oct-06,"$80,238,282 ",2006
711,117,55,24,12,Disturbia (Paramount / DreamWorks),13-Apr-07,"$80,209,993 ",2007
712,66,98,13,24,Nacho Libre (Paramount),16-Jun-06,"$80,197,124 ",2006
713,26,136,1,37,Jumper (Fox),14-Feb-08,"$80,172,510 ",2008
714,151,45,26,10,Cloverfield (Paramount),18-Jan-08,"$80,048,167 ",2008
715,19,15,3,1,Footloose (1984) (Paramount),17-Feb-84,"$80,035,796 ",1984
716,39,96,6,24,Dear John (Sony / Screen Gems),05-Feb-10,"$80,014,842 ",2010
717,5,8,0,1,A Star Is Born (1976) (Warner Bros.),17-Dec-76,"$80,000,605 ",1976
718,46,2,6,0,Fantasia (Disney / RKO),13-Nov-40,"$80,000,076 ",1940
