Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
204,42,8,2,3,The Sound of Music (Fox),02-Mar-65,"$163,214,076 ",1965
205,40,11,6,3,Batman Returns (Warner Bros.),19-Jun-92,"$162,831,945 ",1992
206,77,7,18,1,A Bug's Life (Disney),20-Nov-98,"$162,798,279 ",1998
207,16,145,3,30,Grown Ups (Sony / Columbia),25-Jun-10,"$162,001,186 ",2010
208,23,50,4,13,The Waterboy (Disney),06-Nov-98,"$161,491,939 ",1998
209,48,82,9,14,Ice Age: Continental Drift (Fox),13-Jul-12,"$161,011,391 ",2012
210,113,84,16,21,Die Another Day (MGM),22-Nov-02,"$160,942,810 ",2002
211,62,112,14,21,Shark Tale (DreamWorks),01-Oct-04,"$160,861,093 ",2004
212,44,4,4,1,The Sting (Universal),25-Dec-73,"$159,616,911 ",1973
213,39,13,4,5,The Firm (Paramount),02-Jul-93,"$158,369,885 ",1993
214,51,112,15,21,The Longest Yard (2005) (Paramount),27-May-05,"$158,119,106 ",2005
215,127,28,19,13,X-Men (Fox),14-Jul-00,"$157,299,255 ",2000
216,59,52,15,14,Scary Movie (Miramax / Dimension),07-Jul-00,"$157,019,603 ",2000
217,34,9,5,2,Fatal Attraction (Paramount),18-Sep-87,"$156,645,905 ",1987
218,56,67,13,17,What Lies Beneath (DreamWorks),21-Jul-00,"$155,460,041 ",2000
219,45,37,8,10,The Mummy (Universal),07-May-99,"$155,385,085 ",1999
220,47,125,7,24,Fast & Furious (Universal),03-Apr-09,"$155,152,236 ",2009
221,98,104,24,16,Snow White and the Huntsman (Universal),01-Jun-12,"$155,136,755 ",2012
222,123,42,24,12,Over the Hedge (Paramount / DreamWorks),19-May-06,"$155,019,902 ",2006
223,54,149,10,25,Fantastic Four (Fox),08-Jul-05,"$154,696,660 ",2005
224,103,28,28,6,Dr. Seuss' Horton Hears a Who! (Fox),14-Mar-08,"$154,529,598 ",2008
225,46,1,7,1,Who Framed Roger Rabbit (Disney),22-Jun-88,"$154,112,403 ",1988
226,50,9,18,2,Jerry Maguire (Sony / TriStar),13-Dec-96,"$153,962,324 ",1996
227,11,13,0,1,Beverly Hills Cop II (Paramount),20-May-87,"$153,665,069 ",1987
228,42,100,12,18,Scooby-Doo (Warner Bros.),14-Jun-02,"$153,294,080 ",2002
229,43,9,2,3,Gremlins (Warner Bros.),08-Jun-84,"$153,083,972 ",1984
230,87,88,22,21,Sex and the City (Warner Bros. / New Line),30-May-08,"$152,647,295 ",2008
231,38,45,10,17,Runaway Bride (Paramount),30-Jul-99,"$152,257,160 ",1999
