"data_zone"	"intermediate_zone"	"council_area"	"health_board"	"pct_school_attend"	"alcohol"	"population"	"working_population"	"pct_income_deprived"	"pct_employment_deprived"	"illness"	"mortality"	"drugs"	"pct_depress"	"pct_low_bw"	"hosp_emerg"	"noquals"	"crime"	"pct_no_heating"	"simd_2016_quintile"	"urban"
"55"	"S01006560"	"Midstocket"	"Aberdeen City"	"Grampian"	93	36	984	643	3	1	45	110	0	11	4	84	16	112	1	5	1
"56"	"S01006561"	"Midstocket"	"Aberdeen City"	"Grampian"	94	6	762	501	1	0	20	61	0	10	4	47	21	105	0	5	1
"57"	"S01006562"	"Midstocket"	"Aberdeen City"	"Grampian"	84	51	889	559	5	7	75	82	37	14	9	89	52	113	1	4	1
"58"	"S01006563"	"Midstocket"	"Aberdeen City"	"Grampian"	88	38	755	450	3	4	60	239	0	12	2	87	39	729	1	4	1
"59"	"S01006564"	"Rosemount"	"Aberdeen City"	"Grampian"	65	196	1039	832	12	9	100	98	155	15	2	101	91	482	4	3	1
"60"	"S01006565"	"Rosemount"	"Aberdeen City"	"Grampian"	63	264	1011	887	6	6	80	94	91	12	0	87	69	396	6	3	1
"61"	"S01006566"	"Rosemount"	"Aberdeen City"	"Grampian"	82	44	744	587	5	4	40	86	121	12	2	75	39	175	3	5	1
"62"	"S01006567"	"Rosemount"	"Aberdeen City"	"Grampian"	79	297	828	690	13	10	105	186	166	18	0	129	69	508	6	2	1
"63"	"S01006568"	"Rosemount"	"Aberdeen City"	"Grampian"	73	51	936	839	2	2	25	70	0	10	2	66	26	225	5	5	1
"64"	"S01006569"	"Rosemount"	"Aberdeen City"	"Grampian"	93	36	560	447	4	5	60	62	0	12	7	54	17	89	3	5	1
"65"	"S01006570"	"Rosemount"	"Aberdeen City"	"Grampian"	91	37	815	597	1	2	15	97	28	10	3	69	33	160	1	5	1
"66"	"S01006571"	"West End North"	"Aberdeen City"	"Grampian"	92	118	944	659	3	2	30	61	0	9	9	70	20	922	3	5	1
"67"	"S01006572"	"West End North"	"Aberdeen City"	"Grampian"	94	45	969	615	1	1	15	61	0	8	0	59	15	176	1	5	1
"68"	"S01006573"	"West End North"	"Aberdeen City"	"Grampian"	95	78	742	507	1	1	20	60	0	7	3	69	17	NA	1	5	1
"69"	"S01006574"	"West End North"	"Aberdeen City"	"Grampian"	96	57	977	621	1	1	20	87	0	9	2	61	14	307	1	5	1
"70"	"S01006575"	"West End South"	"Aberdeen City"	"Grampian"	93	51	919	653	1	1	20	89	123	10	4	64	28	98	1	5	1
"71"	"S01006576"	"West End South"	"Aberdeen City"	"Grampian"	90	46	759	550	2	2	25	91	29	9	2	64	13	198	1	5	1
"72"	"S01006577"	"West End South"	"Aberdeen City"	"Grampian"	94	31	815	632	2	2	35	59	48	9	4	67	16	196	3	5	1
"73"	"S01006578"	"West End South"	"Aberdeen City"	"Grampian"	76	136	1085	927	5	4	55	102	139	9	3	86	51	267	5	4	1
"74"	"S01006579"	"West End South"	"Aberdeen City"	"Grampian"	81	58	1018	918	3	3	30	116	15	8	6	61	29	138	3	5	1
"75"	"S01006580"	"West End South"	"Aberdeen City"	"Grampian"	84	54	781	649	3	2	30	65	0	11	3	71	28	384	5	5	1
"76"	"S01006581"	"West End South"	"Aberdeen City"	"Grampian"	91	49	924	613	0	1	35	63	123	10	4	64	16	87	2	5	1
"77"	"S01006582"	"City Centre West"	"Aberdeen City"	"Grampian"	80	190	903	788	8	6	55	92	248	11	5	107	53	2715	6	3	1
"78"	"S01006583"	"City Centre West"	"Aberdeen City"	"Grampian"	78	51	714	655	4	2	40	95	22	8	9	71	37	182	3	5	1
